type,second,load_mt_s,p50_us,p90_us,p95_us,p99_us,p99_9_us,p99_99_us,worst_us
throughput,0,2.132,,,,,,,
throughput,1,4.213,,,,,,,
throughput,2,4.702,,,,,,,
throughput,3,5.376,,,,,,,
throughput,4,4.769,,,,,,,
throughput,5,5.357,,,,,,,
throughput,6,5.181,,,,,,,
throughput,7,5.208,,,,,,,
throughput,8,5.051,,,,,,,
throughput,9,5.119,,,,,,,
throughput,10,4.594,,,,,,,
throughput,11,5.051,,,,,,,
throughput,12,4.975,,,,,,,
throughput,13,3.759,,,,,,,
throughput,14,5.146,,,,,,,
throughput,15,5.263,,,,,,,
throughput,16,5.338,,,,,,,
throughput,17,4.934,,,,,,,
throughput,18,5.068,,,,,,,
throughput,19,4.95,,,,,,,
throughput,20,5.425,,,,,,,
throughput,21,5.19,,,,,,,
throughput,22,3.911,,,,,,,
throughput,23,5.085,,,,,,,
throughput,24,5.119,,,,,,,
throughput,25,4.983,,,,,,,
throughput,26,4.854,,,,,,,
throughput,27,4.329,,,,,,,
throughput,28,4.87,,,,,,,
throughput,29,4.601,,,,,,,
throughput,30,4.983,,,,,,,
throughput,31,5.415,,,,,,,
throughput,32,4.992,,,,,,,
throughput,33,5.357,,,,,,,
throughput,34,5.102,,,,,,,
throughput,35,5.425,,,,,,,
throughput,36,4.622,,,,,,,
throughput,37,5.181,,,,,,,
throughput,38,5.017,,,,,,,
throughput,39,5.008,,,,,,,
throughput,40,5.329,,,,,,,
throughput,41,4.329,,,,,,,
throughput,42,3.311,,,,,,,
throughput,43,3.881,,,,,,,
throughput,44,5.146,,,,,,,
throughput,45,5.263,,,,,,,
throughput,46,5.008,,,,,,,
throughput,47,5.155,,,,,,,
throughput,48,5.405,,,,,,,
throughput,49,5.051,,,,,,,
latency,,0.2,0.85,1.39,1770.0,13200.0,24000.0,29500.0,31000.0
latency,,0.3,0.87,6300.0,13800.0,37000.0,72000.0,81000.0,81000.0
latency,,0.4,0.86,1930.0,8200.0,18700.0,32000.0,36000.0,37000.0
latency,,0.5,0.84,1.21,465.0,9800.0,23700.0,28400.0,29000.0
latency,,0.6,0.85,160.0,5900.0,15000.0,20600.0,21800.0,22200.0
latency,,0.7,0.84,1.1,7.4,5600.0,11300.0,13600.0,14000.0
latency,,0.8,0.85,922.0,12300.0,58000.0,83000.0,85000.0,85000.0
latency,,0.9,0.88,14300.0,24000.0,73000.0,82000.0,83000.0,84000.0
latency,,1.0,0.84,3.6,1700.0,17300.0,30000.0,32000.0,32000.0
latency,,1.1,0.83,3.9,643.0,9000.0,15400.0,17200.0,17400.0
latency,,1.2,0.87,18900.0,27700.0,38000.0,46000.0,47000.0,47000.0
latency,,1.3,0.84,1.46,7.0,3300.0,9200.0,10900.0,11100.0
latency,,1.401,0.84,6.5,2060.0,12100.0,18100.0,19100.0,19300.0
latency,,1.502,0.95,11900.0,21600.0,37000.0,49000.0,51000.0,51000.0
latency,,1.6,0.92,2.14,7.1,1510.0,4600.0,5600.0,5800.0
latency,,1.695,1.04,9900.0,15900.0,26600.0,34000.0,35000.0,35000.0
latency,,1.8,1.01,4.5,10.9,6300.0,10900.0,11600.0,11700.0
latency,,1.9,1.04,7.8,1120.0,10200.0,17700.0,18400.0,18500.0
latency,,2.0,1.09,37000.0,52000.0,65000.0,71000.0,71000.0,71000.0
latency,,2.101,1.05,6.7,365.0,5200.0,10500.0,11100.0,11200.0
latency,,2.203,1.13,13300.0,22400.0,33000.0,38000.0,39000.0,39000.0
latency,,2.304,1.05,6.7,21.9,10800.0,15600.0,16200.0,16300.0
latency,,2.383,1.3,21000.0,29800.0,35000.0,37000.0,38000.0,38000.0
latency,,2.5,1.05,4.9,7.7,38.0,766.0,1230.0,1330.0
latency,,2.604,1.08,7.1,18.7,1250.0,2390.0,2620.0,2670.0
latency,,2.703,1.1,7.5,44.0,10600.0,13500.0,13800.0,13900.0
latency,,2.801,1.12,7.3,14.5,8400.0,10400.0,10900.0,11100.0
latency,,2.907,1.14,8.5,264.0,2280.0,3400.0,3600.0,3600.0
latency,,3.003,1.14,7.1,10.1,639.0,1520.0,1640.0,1680.0
latency,,3.106,1.24,2520.0,5200.0,9800.0,10900.0,11100.0,11100.0
latency,,3.205,1.22,8.4,15.4,2790.0,5100.0,5300.0,5300.0
latency,,3.3,1.27,8.8,15.2,938.0,1670.0,1860.0,1890.0
latency,,3.401,1.33,9.3,69.0,2540.0,4100.0,4300.0,4300.0
latency,,3.509,11.0,25800.0,35000.0,41000.0,43000.0,43000.0,43000.0
latency,,3.61,7.6,10700.0,15700.0,20300.0,21800.0,21900.0,21900.0
latency,,3.086,22000.0,120000.0,132000.0,154000.0,164000.0,164000.0,164000.0
